Wall time,Step,Value
1495412551.717629,165799,-0.3199999928474426
1495412556.444144,166599,-0.5400000214576721
1495412561.68069,167399,-0.41999998688697815
1495412564.246968,167799,-0.49000000953674316
1495412566.069914,168099,-0.5799999833106995
1495412566.649182,168199,-0.3100000023841858
1495412570.252854,168799,0.9399999976158142
1495412570.828419,168899,-0.2800000011920929
1495412575.883006,169699,-0.550000011920929
1495412578.788001,170099,1.0
1495412579.390063,170199,-0.27000001072883606
1495412579.960905,170299,1.0
1495412581.111344,170499,-0.27000001072883606
1495412582.860101,170799,-0.4099999964237213
1495412586.87179,171499,0.5799999833106995
1495412587.457341,171599,-0.029999999329447746
1495412592.042598,172399,-0.44999998807907104
1495412592.632955,172499,-0.44999998807907104
1495412597.984144,173399,-0.3100000023841858
1495412600.265285,173799,-0.25
1495412601.418857,173999,-0.28999999165534973
1495412603.144876,174299,-0.30000001192092896
1495412605.994308,174799,-0.28999999165534973
1495412606.567518,174899,-0.44999998807907104
1495412607.706416,175099,-0.3100000023841858
1495412608.264811,175199,1.0
1495412608.823537,175299,-0.46000000834465027
1495412611.689664,175799,-0.3199999928474426
1495412619.81107,177199,-0.6899999976158142
1495412625.04183,178099,-0.41999998688697815
1495412628.554109,178699,-0.41999998688697815
1495412632.551398,179399,-0.3100000023841858
1495412633.112765,179499,0.8899999856948853
1495412638.291458,180399,-0.33000001311302185
1495412642.431337,181099,-0.3700000047683716
1495412647.616517,181999,-0.20999999344348907
1495412649.311385,182299,-0.38999998569488525
1495412653.30454,182999,-0.3700000047683716
1495412654.473443,183199,0.6399999856948853
1495412656.929817,183599,-0.28999999165534973
1495412662.633661,184599,-0.27000001072883606
1495412663.204506,184699,-0.44999998807907104
1495412664.957655,184999,-0.1899999976158142
1495412667.813217,185499,-0.25999999046325684
1495412670.446307,185899,-0.4300000071525574
1495412678.358118,187199,-0.699999988079071
1495412679.519912,187399,-0.5099999904632568
1495412680.08612,187499,-0.27000001072883606
1495412683.97218,188099,-0.3400000035762787
1495412684.575487,188199,-0.33000001311302185
1495412685.144471,188299,0.7599999904632568
1495412686.364851,188499,-0.33000001311302185
1495412695.275067,189899,-0.2800000011920929
1495412706.5723,191699,-0.3700000047683716
1495412710.103132,192299,-0.46000000834465027
1495412714.415788,192999,-0.25
1495412718.688102,193599,-0.3199999928474426
1495412721.715818,193999,1.0
1495412723.030563,194199,0.9800000190734863
1495412724.50096,194399,0.4300000071525574
1495412728.462847,194999,-0.15000000596046448
1495412730.394283,195299,-0.2800000011920929
1495412731.674119,195499,1.0
1495412733.699453,195799,-0.4399999976158142
1495412735.699198,196099,-0.41999998688697815
1495412737.569747,196399,0.7699999809265137
1495412742.787396,197299,-0.3199999928474426
1495412743.973787,197499,-0.38999998569488525
1495412751.129294,198699,-0.3400000035762787
1495412751.735654,198799,-0.3100000023841858
1495412752.306513,198899,0.6600000262260437
1495412760.408369,200299,-0.17000000178813934
1495412762.740134,200699,-0.30000001192092896
1495412765.235666,201099,0.7099999785423279
1495412767.728291,201499,0.8500000238418579
1495412768.315456,201599,-0.2800000011920929
1495412770.285549,201899,-0.3499999940395355
1495412771.503748,202099,0.9300000071525574
1495412772.81338,202299,-0.30000001192092896
1495412777.791762,203099,-0.30000001192092896
1495412779.121607,203299,-0.27000001072883606
1495412780.870584,203599,-0.5099999904632568
1495412782.620564,203899,-0.33000001311302185
1495412784.504564,204199,0.949999988079071
1495412785.723307,204399,-0.25999999046325684
1495412787.501718,204699,-0.33000001311302185
1495412789.225616,204999,-0.36000001430511475
