x no_shield shield_1 no_shield_sarsa shield_1_sarsa
145 5.13997896303 9.04403792856 5.14446363298 9.07094932699
146 5.40635000689 9.10988934842 5.04652812562 9.02816040183
147 5.14455883823 9.08215281286 5.26851742979 9.13083287859
148 5.23959966703 9.0831818083 5.15294363417 9.07304875311
149 5.2026098805 9.12060051262 5.33025530309 9.06281906039
150 5.59735120287 9.06327653652 5.09864077432 9.06291499688
151 5.32075843723 9.13702341392 4.88386823965 9.08302355978
152 5.22983761532 9.1013404188 5.25245940305 9.16320458584
153 5.11924891541 9.1483357607 5.0757225475 9.11174497262
154 5.19997141545 9.07686354585 5.26474299271 9.09014265197
155 5.38700745175 9.07443166137 5.57643539307 9.07945295667
156 5.1128454049 9.10502839526 5.39636295072 9.12177916424
157 5.3241065725 9.12772871298 5.43297006691 9.09946770539
158 5.43944019053 9.08504121016 5.37417149024 9.05686897067
159 5.3759060912 9.02737374482 5.20215141892 9.13564465234
160 5.54127100009 9.11585709909 5.44161809546 9.09421838003
161 5.37422015619 9.04321894254 5.04943236156 9.08948914365
162 5.30318779812 9.14629602551 5.43375819013 9.06805107282
163 5.55848065228 9.10105319118 5.56050812309 9.06346386194
164 5.28195889547 9.05931901104 5.17322817248 9.11984333637
165 5.56533634993 9.07301592036 5.24397861635 9.16096409734
166 5.44162921289 9.07765466969 5.73987112299 9.13691388831
167 5.57795280734 9.12359256906 5.12274183028 9.11183022749
168 5.36627711112 9.08483655091 5.7511122144 9.13372597609
169 5.16666945716 9.06855636343 5.39719887625 9.11307397163
170 5.76535918443 9.08347209587 5.52107392908 9.14368340766
171 5.49216533326 9.15390098892 5.79458325239 9.08397645969
172 5.61120566555 9.11106486356 5.8281081718 9.08071168245
173 5.78000477264 9.19219206099 5.4386913306 9.1110207737
174 5.79335317938 9.18427459171 5.73319316196 9.12643334296
175 5.55350880002 9.15396437008 5.38167506478 9.14742333144
176 5.92834084987 9.02451193587 5.32799480224 9.12457342948
177 5.65115956613 9.1600705578 5.67892064381 9.11922751056
178 6.02157941935 9.14926874421 5.77002270592 9.07983143078
179 5.58070590057 9.13836002638 5.50244281857 9.15671393099
180 5.73378711221 9.1652661216 5.87333566579 9.08846860022
181 5.63986603906 9.10719414438 5.58102830302 9.18630484514
182 5.77192692164 9.11736044545 5.75789485885 9.09063984054
183 5.80408981 9.14450640595 5.56682150832 9.12874644732
184 5.52078276299 9.13506211153 5.85922482922 9.1497087383
185 5.82179512563 9.18538918583 5.73254083645 9.204525802
186 5.87113208137 9.14697127204 5.77128243099 9.10048004108
187 5.82462328358 9.13506079157 5.70555218184 9.12467901936
188 6.07274739367 9.15241367829 6.03764218862 9.13032968246
189 6.05195049838 9.14624911142 5.79672082324 9.19467873897
190 5.73184772257 9.13501366046 5.79621504382 9.17205516941
191 5.89522931682 9.12384787508 5.81144166026 9.11086950791
192 5.78740210798 9.11381742493 5.84171830774 9.16190797471
